DATE,SITE_TYPE,SITE_NUMBER,SITE_ID,SPECIES_CODE,PERCENT_PLANT_IN_PLOT,CANOPY_DIA_1_CM,CANOPY_DIA_2_CM,PLANT_HT_CM,HT_TO_TALLEST_BUDSCAR_CM,GENUS
2018-06-20T00:00:00Z,WC,9,WC9,SAMO,100,85,25,255,245,willow
2018-06-20T00:00:00Z,WC,9,WC9,SAMO,5,30,25,180,170,willow
2018-06-20T00:00:00Z,WC,9,WC9,SAMO,100,45,25,230,220,willow
2018-06-20T00:00:00Z,WC,9,WC9,SAPL,100,55,40,240,220,willow
2018-06-20T00:00:00Z,WC,9,WC9,SAPL,90,95,60,275,265,willow
2018-06-20T00:00:00Z,WC,9,WC9,SAPL,100,55,45,265,250,willow
2018-06-20T00:00:00Z,WC,9,WC9,SAPL,100,110,55,215,205,willow
2018-06-20T00:00:00Z,WC,9,WC9,SAPL,100,25,25,185,185,willow
2018-06-20T00:00:00Z,WC,9,WC9,SAPL,100,25,20,75,70,willow
2018-06-20T00:00:00Z,WC,9,WC9,SAPL,100,145,35,170,15,willow
2018-06-20T00:00:00Z,WC,9,WC9,SAPL,50,175,85,205,205,willow
2018-06-20T00:00:00Z,WC,9,WC9,SAPL,5,250,150,235,230,willow
2018-06-20T00:00:00Z,WC,9,WC9,SAPL,100,20,10,80,65,willow
2018-06-20T00:00:00Z,WC,9,WC9,SAPL,100,160,130,210,190,willow
2018-06-20T00:00:00Z,WC,9,WC9,SAPL,10,40,40,210,195,willow
2018-06-20T00:00:00Z,WC,9,WC9,SAPL,50,80,40,190,185,willow
2018-06-20T00:00:00Z,WC,9,WC9,SAPL,5,70,60,255,245,willow
2018-06-20T00:00:00Z,WC,9,WC9,SAPL,30,50,40,120,110,willow
2018-06-20T00:00:00Z,WC,9,WC9,SAPL,5,295,225,245,240,willow
2018-06-20T00:00:00Z,WC,9,WC9,SAPL,100,60,30,85,80,willow
2018-06-20T00:00:00Z,WC,9,WC9,SAPL,100,10,10,85,80,willow
